tic,fyear,ape,csho,prcc_f,xrd,sale,ff49_num,ff49_abbr,sic,market_cap,size_decile,rd_regime,word_count
ABCB,2020,210.56017644401732,69.541,38.07,,1172.055,45,Banks,6020,2647.42587,6,R&D-Zero,298
ACEL,2022,86.49726736119474,86.674,7.7,,969.797,7,Fun,7990,667.3898,4,R&D-Zero,373
ACEL,2023,45.182783077082256,84.123,10.27,,1170.42,7,Fun,7990,863.94321,4,R&D-Zero,387
ACEL,2024,101.42860377287846,85.67,10.68,,1230.972,7,Fun,7990,914.9556,4,R&D-Zero,443
AHCO,2023,132.97370412251345,132.635,7.29,,3200.177,42,Whlsl,5047,966.90915,5,R&D-Zero,390
AIR,2021,111.67217176716409,35.391,48.22,,1817.1,42,Whlsl,5080,1706.5540199999998,6,R&D-Zero,477
AIR,2022,47.497231719875636,34.916,50.11,,1990.6,42,Whlsl,5080,1749.6407599999998,6,R&D-Zero,382
ALK,2024,81.92609148803845,123.119,64.75,,11735.0,41,Trans,4512,7971.95525,8,R&D-Zero,424
ALOT,2023,59.77534521750462,7.443,17.63,6.906,148.086,35,Hardw,3577,131.22009,2,R&D-Active,411
AMCX,2023,88.34329916680505,43.561,18.79,,2711.877,32,Telcm,4833,818.5111899999999,4,R&D-Zero,452
AMKR,2021,44.12650796948681,244.315,24.79,166.037,6138.329,37,Chips,3674,6056.56885,8,R&D-Active,382
AMLX,2024,126.70461342824123,68.63,3.78,140.287,87.371,13,Drugs,2834,259.42139999999995,2,R&D-Active,499
AMWD,2023,93.11653391305802,15.653,92.08,,1847.502,17,BldMt,2430,1441.32824,5,R&D-Zero,369
ARKR,2021,31.734449922778456,3.551,15.695,0.0,131.87,44,Meals,5812,55.732945,1,R&D-Zero,384
ATYR,2022,65.11793776889199,29.498,2.19,42.808,10.386,13,Drugs,2836,64.60062,1,R&D-Active,399
AVD,2021,39.49067340004254,30.887,16.39,10.354,556.872,14,Chems,2870,506.23793,3,R&D-Active,436
BFH,2024,34.86449179707441,49.1,61.06,,4798.0,45,Banks,6141,2998.0460000000003,6,R&D-Zero,419
BGC,2020,29.09723356022854,368.902,4.0,,2056.72,48,Fin,6211,1475.608,5,R&D-Zero,304
BIRD,2022,275.4061230103888,149.907,2.42,,299.719,10,Clths,3021,362.77494,3,R&D-Zero,394
CAKE,2022,40.209802848788556,51.174,31.71,0.0,3303.156,44,Meals,5812,1622.72754,6,R&D-Zero,364
CBRE,2023,842.9906156225272,304.889,93.09,,31949.0,47,RlEst,6531,28382.11701,10,R&D-Zero,372
CBRL,2022,44.02104846137324,22.281,95.07,,3267.786,44,Meals,5812,2118.25467,6,R&D-Zero,441
CCLD,2020,38.40489889756182,13.38,9.07,9.311,105.122,36,Softw,7370,121.35660000000001,1,R&D-Active,410
CENTA,2021,147.50226749737288,55.231,43.0,0.0,3303.684,42,Whlsl,5140,2374.933,6,R&D-Zero,438
CENX,2024,124.81628958982465,93.289,18.22,,2220.3,19,Steel,3350,1699.7255799999998,5,R&D-Zero,421
CFR,2022,53.92710360589656,64.355,133.7,,1880.539,45,Banks,6020,8604.2635,9,R&D-Zero,374
CIX,2022,147.58960360074894,12.307,18.48,,166.562,17,BldMt,3420,227.43336000000002,2,R&D-Zero,350
CLOV,2024,96.14489730038376,503.525,3.15,,1371.131,46,Insur,6324,1586.10375,5,R&D-Zero,421
CMCO,2024,83.3480128964317,28.618,16.93,23.869,963.027,21,Mach,3530,484.50273999999996,3,R&D-Active,354
CMTL,2022,37.41610485216609,27.64,11.62,52.532,486.239,37,Chips,3663,321.17679999999996,3,R&D-Active,517
CNR,2020,48.15064866314411,34.031,7.21,,938.418,29,Coal,1220,245.36351,2,R&D-Zero,423
CNR,2021,164.98819404533822,34.48,22.71,,1270.79,29,Coal,1220,783.0408,4,R&D-Zero,382
CRMT,2024,57.32064639722204,8.263,47.42,0.0,1146.208,43,Rtail,5500,391.83146,3,R&D-Zero,480
CRON,2022,84.41340381126247,380.575,2.54,13.381,91.904,13,Drugs,2834,966.6605,5,R&D-Active,452
CRTO,2024,2555.918361101191,54.277,39.56,279.341,1933.289,34,BusSv,7311,2147.19812,6,R&D-Active,444
DOW,2021,108.5682868071932,735.215,56.72,857.0,54968.0,14,Chems,2821,41701.3948,10,R&D-Active,432
DOW,2024,28.80412399092393,703.613,40.13,810.0,42964.0,14,Chems,2821,28235.989690000006,9,R&D-Active,355
EBF,2021,28.499239592072033,25.8,18.78,,400.014,39,Paper,2761,484.52400000000006,3,R&D-Zero,387
EBF,2023,123.22222363821103,25.803,20.32,,420.109,39,Paper,2761,524.31696,4,R&D-Zero,366
EML,2020,35.39111895447997,6.247,24.1,3.131,240.403,17,BldMt,3420,150.55270000000002,2,R&D-Active,403
ENTA,2023,29.76578296632077,21.059,11.17,163.524,79.204,13,Drugs,2836,235.22903000000002,2,R&D-Active,474
ET,2022,29.110226237391082,3094.445,11.87,,89591.0,31,Util,4922,36731.06215,10,R&D-Zero,370
EVR,2021,35.56116860370406,37.903,135.85,,3307.085,48,Fin,6200,5149.12255,8,R&D-Zero,362
EVR,2022,1121.58017510491,38.347,109.08,,2777.604,48,Fin,6200,4182.89076,7,R&D-Zero,441
FBK,2020,313.8325474647286,47.221,34.73,,616.499,45,Banks,6020,1639.9853299999997,6,R&D-Zero,330
FG,2023,41.09235297230412,126.332,46.0,,4271.0,46,Insur,6311,5811.272,8,R&D-Zero,459
FONR,2022,53.47342743663495,6.937,15.19,1.494,97.592,11,Hlth,8071,105.37303,1,R&D-Active,364
FONR,2023,49.582561635623705,6.834,17.1,1.568,98.645,11,Hlth,8071,116.8614,1,R&D-Active,402
FORR,2023,91.56752202883754,19.248,26.81,,480.779,34,BusSv,8700,516.03888,4,R&D-Zero,373
FTHM,2021,37.61867169411438,16.746,20.46,3.911,330.23,47,RlEst,6531,342.62316,3,R&D-Active,286
GEF,2021,259.3110073973475,48.559,64.68,,5556.1,40,Boxes,2650,3140.79612,7,R&D-Zero,400
GEF,2023,34.53865684127797,46.805,63.5,,5218.6,40,Boxes,2650,2972.1175,7,R&D-Zero,440
GENC,2023,115.44596378261164,14.658,14.13,3.458,105.075,21,Mach,3567,207.11754,2,R&D-Active,440
GOCO,2021,131.8437368228992,115.487,3.79,,1062.415,46,Insur,6411,437.69572999999997,3,R&D-Zero,392
GOCO,2022,131.48834164247162,8.95,10.45,,631.675,46,Insur,6411,93.52749999999999,1,R&D-Zero,375
HNI,2023,29.167656682844363,46.9,41.83,47.2,2434.0,39,Paper,2522,1961.8269999999998,6,R&D-Active,358
HOOK,2021,33.923924907372076,31.205,2.33,82.853,18.448,13,Drugs,2836,72.70765,1,R&D-Active,441
HPE,2023,63.16271636988967,1282.63,15.38,2349.0,29135.0,35,Hardw,3571,19726.849400000003,9,R&D-Active,366
HPE,2024,62.63164225360875,1297.258,19.49,2246.0,30127.0,35,Hardw,3571,25283.558419999998,9,R&D-Active,433
HSIC,2020,655.0377210892085,142.463,66.86,0.0,10119.141,42,Whlsl,5047,9525.07618,8,R&D-Zero,427
HSIC,2023,438.5532365889147,129.248,75.71,0.0,12339.0,42,Whlsl,5047,9785.366079999998,8,R&D-Zero,284
HUN,2021,51.02079512898007,214.17,34.88,150.0,8453.0,14,Chems,2860,7470.2496,8,R&D-Active,367
INVX,2021,28.962321716130987,34.774,19.68,15.104,322.945,21,Mach,3533,684.35232,4,R&D-Active,379
JRVR,2020,33.090453565875656,30.649,49.15,,665.481,46,Insur,6331,1506.39835,5,R&D-Zero,371
KBR,2020,545.509253396831,140.766,30.93,,5767.0,36,Softw,7370,4353.892379999999,7,R&D-Zero,414
KFY,2023,44.201078514535475,51.983,60.72,,2795.505,49,Other,7361,3156.4077599999996,7,R&D-Zero,405
KFY,2024,28.958194294348303,51.458,61.7,,2761.086,49,Other,7361,3174.9586,7,R&D-Zero,402
KLIC,2022,40.20362194455796,57.128,38.53,136.852,1503.62,21,Mach,3559,2201.1418400000002,6,R&D-Active,468
KMPR,2020,122.7324572813125,65.436,76.83,,5111.4,46,Insur,6331,5027.447880000001,8,R&D-Zero,389
LAZ,2021,31.890137279281255,100.72,43.63,,3291.91,48,Fin,6282,4394.4136,7,R&D-Zero,377
LEN,2023,98.90658352219761,280.948,127.92,,34233.366,18,Cnstr,1531,35938.86816,10,R&D-Zero,391
LYTS,2024,40.60005940300048,28.186,14.47,3.5,469.638,22,ElcEq,3640,407.85142,3,R&D-Active,398
MHH,2020,902.5120291571685,11.393,15.9,,194.101,49,Other,7361,181.14870000000002,2,R&D-Zero,410
MLKN,2021,15488.550161242832,75.824,30.2,71.1,3946.0,39,Paper,2520,2289.8848,6,R&D-Active,396
MOG.A,2020,29.0635339273202,32.166,63.53,110.865,2884.554,24,Aero,3728,2043.50598,6,R&D-Active,409
MOG.A,2022,73.01795898461098,31.781,70.35,109.527,3035.783,24,Aero,3728,2235.79335,6,R&D-Active,452
MYPS,2021,278.3234938690968,126.196,3.95,61.343,287.419,36,Softw,7372,498.4742,3,R&D-Active,269
NAGE,2023,212.85017814704625,74.981,1.43,4.958,83.57,13,Drugs,2833,107.22282999999999,1,R&D-Active,361
NOV,2020,36.18279240790416,388.255,13.73,,6090.0,21,Mach,3533,5330.74115,8,R&D-Zero,333
NRG,2024,41.10984487690771,198.604,90.22,,28130.0,31,Util,4911,17918.05288,9,R&D-Zero,386
NRGV,2022,83.27003904120247,138.53,3.12,42.605,145.877,22,ElcEq,3690,432.21360000000004,3,R&D-Active,366
NVRI,2022,60.576278141101774,79.49,6.29,0.69,1889.065,19,Steel,3390,499.9921,4,R&D-Active,385
NWPX,2020,50.21066134697201,9.805,28.3,,285.907,19,Steel,3317,277.4815,3,R&D-Zero,365
OEC,2022,55.15807369209105,60.572,17.81,21.7,2030.9,14,Chems,2890,1078.78732,5,R&D-Active,431
OFIX,2024,41.4554000121632,38.486,17.46,73.643,799.491,12,MedEq,3841,671.96556,4,R&D-Active,460
OII,2022,72.27181746336522,100.26,17.49,,2066.084,30,Oil,1389,1753.5474,6,R&D-Zero,461
PAHC,2023,69.86881062410328,40.504,13.7,24.395,977.889,13,Drugs,2833,554.9047999999999,4,R&D-Active,363
PATK,2020,670.3510859636907,23.361,68.35,,2486.597,23,Autos,3714,1596.72435,6,R&D-Zero,390
PBYI,2022,41.795878556382796,46.346,4.23,59.24,228.031,13,Drugs,2836,196.04358,2,R&D-Active,398
PLPC,2023,91.38441224672661,4.908,133.86,5.2,669.679,22,ElcEq,3640,656.9848800000001,4,R&D-Active,341
POWL,2023,38.03292560517645,11.862,82.9,6.22,699.308,22,ElcEq,3613,983.3598000000001,5,R&D-Active,364
PRTS,2021,35.49621732461011,50.395,11.2,0.0,582.44,43,Rtail,5961,564.424,4,R&D-Zero,432
PVH,2021,80.11714611186578,68.535,95.01,,9154.7,10,Clths,2300,6511.5103500000005,8,R&D-Zero,375
QURE,2021,57.99355777618162,46.299,20.74,143.548,524.002,13,Drugs,2836,960.2412599999999,5,R&D-Active,349
RFIL,2022,34.06593053967519,10.193,5.41,2.913,85.254,37,Chips,3678,55.14413,1,R&D-Active,350
RJF,2022,68.02566778226247,215.123,98.82,,11308.0,48,Fin,6211,21258.454859999998,9,R&D-Zero,524
RMTI,2020,62.265290621971694,93.573,1.01,7.092,62.197,12,MedEq,3842,94.50873,1,R&D-Active,412
RS,2020,169.0849186384165,63.6,119.75,,8811.9,42,Whlsl,5051,7616.1,8,R&D-Zero,355
RVP,2021,70.24810759378092,33.485,6.93,0.901,188.382,12,MedEq,3841,232.05104999999998,2,R&D-Active,497
RXO,2024,29.84240105640345,162.517,23.84,,4550.0,41,Trans,4731,3874.40528,7,R&D-Zero,387
SAIC,2021,59.485316324417084,56.0,82.03,4.0,7394.0,36,Softw,7373,4593.68,7,R&D-Active,401
SAIC,2024,30.533634030277767,48.0,108.28,12.0,7466.0,36,Softw,7373,5197.4400000000005,7,R&D-Active,379
SAMG,2023,50.25233912858578,9.479,17.0,,117.41,48,Fin,6282,161.14299999999997,2,R&D-Zero,357
SAMG,2024,34.062777187154,9.376,18.39,,123.651,48,Fin,6282,172.42463999999998,2,R&D-Zero,388
SEAT,2024,328.9240553121014,132.385,4.63,0.0,775.586,7,Fun,7990,612.94255,4,R&D-Zero,428
SLNG,2022,907.7781971956097,18.42,5.315,,98.823,30,Oil,1311,97.90230000000001,1,R&D-Zero,391
SMP,2021,57.247484719734516,22.024,52.39,,1298.816,22,ElcEq,3690,1153.83736,5,R&D-Zero,433
SND,2020,72.7171876956237,41.575,1.72,,122.34,28,Mines,1400,71.509,1,R&D-Zero,382
SPB,2024,114.93888633698123,28.1,95.14,28.1,2963.9,9,Hshld,3634,2673.434,6,R&D-Active,455
SPHR,2020,29.568824424428012,24.023,75.0,,762.936,32,Telcm,4841,1801.725,6,R&D-Zero,398
SPIEF,2021,54.7671341259537,25.352,3.61,,161.993,22,ElcEq,3620,91.52072,1,R&D-Zero,341
SPOK,2020,38.62062750341033,19.384,11.13,15.828,148.18,32,Telcm,4812,215.74392000000003,2,R&D-Active,263
SPOK,2021,282.65351125228716,19.828,9.33,17.92,142.153,32,Telcm,4812,184.99524,2,R&D-Active,254
SRBK,2024,68.75395730283317,8.804,9.25,,38.375,45,Banks,6020,81.437,1,R&D-Zero,358
SST,2022,126.87468166834259,91.674,4.69,,826.652,36,Softw,7370,429.95106000000004,3,R&D-Zero,411
STLD,2020,1959.5761329588888,210.914,36.87,,9601.482,19,Steel,3312,7776.399179999999,8,R&D-Zero,408
SYM,2024,38.67165236235256,104.689,24.39,173.457,1788.179,21,Mach,3569,2553.36471,6,R&D-Active,386
TBLA,2023,32.577773415416516,340.869,4.33,136.255,1439.685,36,Softw,7370,1475.96277,5,R&D-Active,416
TDS,2020,105.04598810212329,114.0,18.57,,5225.0,32,Telcm,4812,2116.98,6,R&D-Zero,412
TDS,2022,37.24290521712937,112.0,10.49,,5413.0,32,Telcm,4812,1174.88,5,R&D-Zero,456
TNET,2020,566.5678843207307,66.457,80.6,,4034.0,34,BusSv,8742,5356.434199999999,8,R&D-Zero,376
TTMI,2023,34.41527189461007,102.108,15.81,27.272,2232.567,37,Chips,3672,1614.3274800000002,6,R&D-Active,446
UCTT,2020,57.38904191706419,40.6,31.15,14.8,1398.6,37,Chips,3674,1264.69,5,R&D-Active,404
UNM,2024,65.03094896664184,178.589,73.03,,12891.8,46,Insur,6321,13042.35467,9,R&D-Zero,465
URBN,2020,35.51891055484703,97.816,27.43,0.0,3449.749,43,Rtail,5651,2683.09288,6,R&D-Zero,361
URBN,2024,34.255620833628086,92.282,55.42,0.0,5550.666,43,Rtail,5651,5114.26844,7,R&D-Zero,389
UVV,2021,56.36238662022136,24.55,58.07,,2103.601,42,Whlsl,5150,1425.6185,5,R&D-Zero,343
VERI,2022,214.98293746499203,36.321,5.3,43.589,149.728,36,Softw,7370,192.5013,2,R&D-Active,469
VERI,2023,40.833370993088714,37.186,1.81,42.09,127.56,36,Softw,7370,67.30666000000001,1,R&D-Active,391
VRNO,2024,92.21295012285124,358.747,1.245,,878.585,13,Drugs,2834,446.64001500000006,3,R&D-Zero,325
VSCO,2021,54.4997406192225,85.0,55.83,0.0,6785.0,43,Rtail,5621,4745.55,8,R&D-Zero,347
VTLE,2022,42.738566257874155,16.762,51.42,,1920.796,30,Oil,1311,861.90204,5,R&D-Zero,417
WDC,2022,72.72172114477974,315.0,44.83,2323.0,18793.0,35,Hardw,3572,14121.449999999999,9,R&D-Active,414
WLKP,2024,59.83050174278104,35.238,23.14,,1135.896,14,Chems,2860,815.40732,4,R&D-Zero,396
XRX,2020,31.509362346906123,198.386,23.19,257.0,7022.0,35,Hardw,3577,4600.57134,7,R&D-Active,358
ZION,2020,51.627653835972474,164.09,43.44,,2942.0,45,Banks,6020,7128.0696,8,R&D-Zero,405
